127.0.0.1 - - [10/Dec/2014:16:16:45 -0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:16:59 -0800] "GET /Reservation/login.jsp HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:17:11 -0800] "POST /Reservation/rest/user/login HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:17:11 -0800] "GET /Reservation/home.jsp HTTP/1.1" 200 2870
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:17:15 -0800] "GET /Reservation/search.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:17:20 -0800] "POST /Reservation/rest/search/,seattle HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:17:20 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 30281
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:19:32 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:19:32 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:19:32 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:19:35 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:19:35 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:19:35 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:19:35 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:19:36 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:19:36 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:19:37 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:20:07 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:20:07 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:20:07 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
